YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1967,48,2,-,-,22,161,-,22,5,2,11,34,1,-,37,12,16,6,19,18,2,13,12,39,17,16,12,7,-,2,-,23,2,49,3,2,25,6,12,29,2,1,-,20,43,-,-,10,20,13,15,2
1967,49,9,3,3,-,227,4,11,-,2,14,18,1,4,22,13,-,4,40,13,2,10,12,35,26,17,20,5,2,-,-,25,8,83,12,-,48,10,18,49,3,4,1,26,52,-,-,6,18,8,6,1
1967,50,4,-,8,2,129,16,22,6,-,5,9,-,1,59,8,7,3,40,19,2,10,7,21,14,14,9,4,1,-,-,13,10,92,1,7,35,5,12,27,7,1,-,17,46,-,-,10,13,-,9,1
1967,51,4,2,41,6,155,7,16,-,-,6,41,2,1,19,18,6,6,33,14,3,10,16,36,23,6,9,6,3,-,2,20,5,49,2,-,46,23,20,40,5,-,-,18,-,5,-,10,16,4,1,-
1967,52,4,-,11,-,171,3,11,4,-,6,6,-,1,42,5,6,2,10,8,2,12,9,27,8,2,25,6,-,-,-,23,11,53,5,2,32,9,9,26,2,-,-,12,32,1,-,25,9,-,6,-
1968,1,11,4,7,1,112,-,4,4,-,10,10,11,-,2,-,3,3,37,-,2,12,8,19,2,6,26,4,-,-,2,18,3,47,2,1,26,6,17,21,4,-,-,14,39,6,-,14,14,6,19,-
1968,2,6,1,15,1,182,-,12,1,1,6,34,-,8,15,4,10,11,37,13,2,15,19,38,9,5,4,5,3,-,1,57,14,35,6,1,52,9,14,11,4,-,1,23,40,2,1,8,9,4,10,-
1968,3,4,2,5,2,184,1,23,-,1,14,13,-,9,34,3,9,6,29,11,-,14,13,42,19,7,16,7,2,-,-,14,2,75,4,4,58,16,16,33,8,1,-,18,38,2,-,18,16,4,16,1
1968,4,5,-,7,3,184,3,9,3,2,7,36,2,3,45,4,11,5,27,8,-,11,10,50,20,16,17,4,1,-,-,37,9,60,5,3,46,23,9,34,4,3,-,30,66,8,1,4,24,9,9,-
1968,5,4,-,4,-,229,5,6,3,1,11,21,3,1,55,10,10,10,44,13,2,10,15,37,9,11,23,6,2,-,-,28,7,36,6,12,28,16,13,17,9,-,-,29,45,5,-,2,21,3,9,-
